"Symbol","Description","Percentage Above 52 Week Low","Market Capitalization"
"ABEV","Ambev SA","2.49%","$9B (Mid)"
"ACHC","Acadia Healthcare Company Inc","3.84%","$4B (Small)"
"ACLS","Axcelis Technologies Inc","1.82%","$2B (Small)"
"ADBE","Adobe Inc","3.40%","$197B (Large)"
"ADM","Archer-Daniels-Midland Co","3.21%","$24B (Mid)"
"ADNT","Adient PLC","0.48%","$1B (Micro)"
"AEO","American Eagle Outfitters Inc","3.01%","$3B (Small)"
"AHH","Armada Hoffler Properties Inc","2.30%","$1B (Micro)"
"AKZOY","Akzo Nobel NV","1.68%","$10B (Mid)"
"ALTB","Alpine Auto Brokers Inc","0.00%","$2B (Micro)"
"ALV","Autoliv Inc","2.67%","$7B (Small)"
"ALX","Alexander's Inc","2.11%","$1B (Micro)"
"AMBP","Ardagh Metal Packaging SA","2.68%","$2B (Micro)"
"AMD","Advanced Micro Devices Inc","1.11%","$193B (Large)"
"AMED","Amedisys Inc","2.82%","$3B (Small)"
"AMGN","Amgen Inc","3.98%","$142B (Large)"
"AMKR","Amkor Technology Inc","4.85%","$6B (Small)"
"AMN","AMN Healthcare Services Inc","1.59%","$873M (Micro)"
"AMTM","Amentum Holdings Inc","4.30%","$5B (Small)"
"AMWD","American Woodmark Corp","4.74%","$1B (Micro)"
"AMX","America Movil SAB de CV","1.06%","$43B (Large)"
"ANAB","AnaptysBio Inc","2.50%","$443M (Micro)"
"ANDE","Andersons Inc","1.27%","$1B (Micro)"
"ANGI","Angi Inc","3.41%","$830M (Micro)"
"ANIK","Anika Therapeutics Inc","3.06%","$239M (Micro)"
"ANIP","ANI Pharmaceuticals Inc","2.60%","$1B (Micro)"
"AOMR","Angel Oak Mortgage REIT Inc","3.49%","$216M (Micro)"
"AOS","A O Smith Corp","0.95%","$8B (Mid)"
"APA","APA Corp (US)","3.54%","$8B (Mid)"
"APLT","Applied Therapeutics Inc","5.00%","$102M (Micro)"
"ARCB","ArcBest Corp","1.69%","$2B (Small)"
"ARCO","Arcos Dorados Holdings Inc","4.24%","$2B (Micro)"
"ARE","Alexandria Real Estate Equities Inc","2.02%","$17B (Mid)"
"ARKAY","Arkema SA","3.55%","$6B (Small)"
"ARTNA","Artesian Resources Corp","2.76%","$302M (Micro)"
"ASC","Ardmore Shipping Corp","4.14%","$473M (Micro)"
"ASGN","ASGN Inc","1.35%","$4B (Small)"
"ASH","Ashland Inc","0.41%","$3B (Small)"
"ASTH","Astrana Health Inc","0.78%","$2B (Micro)"
"ATLO","Ames National Corp","4.78%","$148M (Micro)"
"ATNI","ATN International Inc","2.60%","$252M (Micro)"
"AUOTY","AUO Corp","1.84%","$3B (Small)"
"AUTL","Autolus Therapeutics PLC","4.09%","$609M (Micro)"
"AVD","American Vanguard Corp","1.83%","$128M (Micro)"
"AVNS","Avanos Medical Inc","0.37%","$739M (Micro)"
"AVY","Avery Dennison Corp","1.29%","$15B (Mid)"
"AYAG","Amaya Global Holdings Corp","0.00%","$423M (Micro)"
"BAK","Braskem SA","2.17%","$692M (Micro)"
"BALL","Ball Corp","3.22%","$17B (Mid)"
"BASFY","BASF SE","0.73%","$39B (Mid)"
"BATRA","Atlanta Braves Holdings Inc","2.37%","$418M (Micro)"
"BAX","Baxter International Inc","3.09%","$15B (Mid)"
"BAYRY","Bayer AG","1.03%","$19B (Mid)"
"BBD","Banco Bradesco SA","4.89%","$10B (Mid)"
"BC","Brunswick Corp","0.53%","$4B (Small)"
"BCE","BCE Inc","1.14%","$21B (Mid)"
"BDX","Becton Dickinson and Co","4.08%","$66B (Large)"
"BF/B","Brown-Forman Corp","3.33%","$13B (Mid)"
"BFACF","Battery Future Acquisition Corp","2.77%","$137M (Micro)"
"BG","Bunge Global SA","1.88%","$11B (Mid)"
"BHP","BHP Group Ltd","0.84%","$125B (Large)"
"BIIB","Biogen Inc","0.96%","$21B (Mid)"
"BKD","Brookdale Senior Living Inc","4.91%","$1B (Micro)"
"BLD","TopBuild Corp","1.47%","$9B (Mid)"
"BLMN","Bloomin' Brands Inc","1.44%","$1B (Micro)"
"BLNK","Blink Charging Co","4.93%","$151M (Micro)"
"BOOM","DMC Global Inc","2.07%","$137M (Micro)"
"BOWFF","Boardwalk Real Estate Investment Trust","0.98%","$2B (Small)"
"BP","BP PLC","2.79%","$77B (Large)"
"BRDCY","Bridgestone Corp","4.74%","$23B (Mid)"
"BRY","Berry Corporation (Bry)","1.88%","$292M (Micro)"
"BSM","Black Stone Minerals LP","1.60%","$3B (Small)"
"BTU","Peabody Energy Corp","2.08%","$3B (Small)"
"BUD","Anheuser-Busch Inbev SA","1.11%","$88B (Large)"
"BWMX","Betterware de Mexico SAPI de CV","2.04%","$410M (Micro)"
"BYON","Beyond Inc","3.86%","$234M (Micro)"
"CABGY","Carlsberg A/S","0.58%","$9B (Mid)"
"CAG","Conagra Brands Inc","3.43%","$13B (Mid)"
"CCI","Crown Castle Inc","1.14%","$39B (Mid)"
"CCS","Century Communities Inc","2.92%","$2B (Small)"
"CDEVY","City Developments Ltd","1.37%","$3B (Small)"
"CDW","CDW Corp","2.26%","$23B (Mid)"
"CE","Celanese Corp","2.28%","$7B (Small)"
"CGNX","Cognex Corp","2.82%","$6B (Small)"
"CHE","Chemed Corp","1.21%","$8B (Mid)"
"CHRD","Chord Energy Corp","1.03%","$7B (Small)"
"CHT","Chunghwa Telecom Co Ltd","4.70%","$29B (Mid)"
"CHX","ChampionX Corp","1.30%","$5B (Small)"
"CIVI","Civitas Resources Inc","0.82%","$4B (Small)"
"CLF","Cleveland-Cliffs Inc","2.74%","$5B (Small)"
"CLYM","Climb Bio Inc","4.84%","$131M (Micro)"
"CMCL","Caledonia Mining Corporation PLC","4.60%","$179M (Micro)"
"CMCSA","Comcast Corp","4.91%","$146B (Large)"
"CMPS","Compass Pathways PLC","2.98%","$272M (Micro)"
"CNI","Canadian National Railway Co","1.27%","$64B (Large)"
"CNND","Canandaigua National Corp","2.82%","$342M (Micro)"
"CNQ","Canadian Natural Resources Ltd","1.20%","$62B (Large)"
"COLD","Americold Realty Trust Inc","2.24%","$6B (Small)"
"COLL","Collegium Pharmaceutical Inc","2.52%","$958M (Micro)"
"COP","ConocoPhillips","0.94%","$123B (Large)"
"COTY","Coty Inc","2.47%","$6B (Small)"
"CPB","Campbell's Co","3.08%","$12B (Mid)"
"CRDE","Cardinal Ethanol LLC","1.17%","$260M (Micro)"
"CRSP","CRISPR Therapeutics AG","3.32%","$3B (Small)"
"CSGP","CoStar Group Inc","4.66%","$29B (Mid)"
"CSTM","Constellium SE","3.31%","$2B (Micro)"
"CSWC","Capital Southwest Corp","1.79%","$1B (Micro)"
"CSX","CSX Corp","1.34%","$61B (Large)"
"CTGO","Contango ORE Inc","1.98%","$126M (Micro)"
"CVE","Cenovus Energy Inc","1.55%","$26B (Mid)"
"CVEO","Civeo Corp","2.55%","$299M (Micro)"
"CVS","CVS Health Corp","1.74%","$56B (Large)"
"CYRB","Cyber App cCorp","0.20%","$479M (Micro)"
"CZR","Caesars Entertainment Inc","3.40%","$7B (Small)"
"DAR","Darling Ingredients Inc","1.19%","$5B (Small)"
"DASTY","Dassault Systemes SE","4.66%","$45B (Large)"
"DBMG","DBM Global Inc","0.00%","$170M (Micro)"
"DBRG","DigitalBridge Group Inc","0.55%","$2B (Micro)"
"DEA","Easterly Government Properties Inc","2.85%","$1B (Micro)"
"DFH","Dream Finders Homes Inc","4.44%","$2B (Small)"
"DHC","Diversified Healthcare Trust","4.11%","$550M (Micro)"
"DHI","DR Horton Inc","4.95%","$45B (Large)"
"DHLGY","Deutsche Post AG","1.71%","$41B (Mid)"
"DHR","Danaher Corp","2.71%","$165B (Large)"
"DHT","DHT Holdings Inc","3.23%","$1B (Micro)"
"DINO","HF Sinclair Corp","0.75%","$6B (Small)"
"DK","Delek US Holdings Inc","3.78%","$1B (Micro)"
"DLEXY","Datalex PLC","0.00%","$146M (Micro)"
"DLHC","DLH Holdings Corp","4.50%","$110M (Micro)"
"DNPLY","Dai Nippon Printing Co Ltd","3.39%","$6B (Small)"
"DNUT","Krispy Kreme Inc","3.05%","$2B (Micro)"
"DOW","Dow Inc","2.80%","$28B (Mid)"
"DVN","Devon Energy Corp","1.25%","$20B (Mid)"
"DXLG","Destination XL Group Inc","1.40%","$118M (Micro)"
"E","Eni SpA","0.96%","$41B (Mid)"
"ED","Consolidated Edison Inc","4.87%","$32B (Mid)"
"EDIT","Editas Medicine Inc","2.34%","$108M (Micro)"
"EDPFY","Edp SA","1.20%","$13B (Mid)"
"EG","Everest Group Ltd","3.75%","$15B (Mid)"
"EGP","Eastgroup Properties Inc","4.00%","$8B (Mid)"
"ELAN","Elanco Animal Health Inc","2.02%","$6B (Small)"
"ELV","Elevance Health Inc","1.04%","$85B (Large)"
"ENTG","Entegris Inc","4.78%","$15B (Mid)"
"EONGY","E On Se","0.95%","$30B (Mid)"
"EPC","Edgewell Personal Care Co","2.55%","$2B (Micro)"
"EQNR","Equinor ASA","2.01%","$66B (Large)"
"ETWO","E2open Parent Holdings Inc","1.35%","$812M (Micro)"
"EVOH","EvoAir Holdings Inc","0.00%","$625M (Micro)"
"EXPD","Expeditors International of Washington Inc","0.39%","$16B (Mid)"
"EYPT","EyePoint Pharmaceuticals Inc","2.90%","$483M (Micro)"
"F","Ford Motor Co","4.11%","$39B (Mid)"
"FANG","Diamondback Energy Inc","4.74%","$45B (Large)"
"FCFS","Firstcash Holdings Inc","2.58%","$5B (Small)"
"FERG","Ferguson Enterprises Inc","3.59%","$36B (Mid)"
"FINN","First National of Nebraska Inc","4.07%","$3B (Small)"
"FIZN","First Citizens Bancshares Inc (Tennessee)","2.66%","$785M (Micro)"
"FLL","Full House Resorts Inc","3.02%","$146M (Micro)"
